Num,VOLTAGE,KVA,YOM,Age,CO,CO2,H2,CH4,C2H4,C2H6,C2H2,H2O,ACIDITY,BREAKDOWN,FURFURAL,DDF,Label,
210,66000,10000,1970,35,200.3,1621.6,7.2,1.4,20.2,0.3,0,28,0.099,46,1.682,0.067,2,
207,66000,25000,1972,35,247,2897.8,80.7,2.3,2.4,0.8,0,13,0.192,75,0.664,0.165,2,
209,66000,5000,1964,43,144.2,2568.8,6.4,4.7,8.4,9.2,0,28,0.052,37,0.504,0.048,2,
199,33000,3000,1963,43,252.2,1946.3,7.3,1.5,23.1,0,0,27,0.15,44,0.186,0.083,2,
17,132000,30000,1985,21,585.1,3961.4,141.4,6.3,8.7,3.5,55.7,16,0.154,59,0.037,0.094,2,
53,33000,750,1944,63,96,3512.5,1.4,1.6,24.2,1.2,0,24,0.078,40,1.377,0.026,2,
173,66000,,1954,49,544,11496.8,49.3,6.6,13.8,12.3,0,23,0.153,39,0.437,0.073,2,
211,11000,,,,83.8,1332.4,3.9,1.2,1.9,0.9,0,27,0.119,34,0.789,0.062,2,
178,11000,2500,,,266.5,12506.3,60.1,96.7,55.3,363.3,0,30,0.03,33,0.293,0.045,2,
224,66000,10000,1983,24,266.2,2152.2,17.4,100.8,13.2,348.4,2.9,10,0.04,75,0.294,0.061,2,
212,11000,,1967,38,204.6,2366.4,10,1.8,2.7,0.6,3.2,27,0.122,37,0.661,0.099,2,
203,66000,11000,1987,21,674.3,5636.3,64.8,6.9,8.5,9.2,0,8,0.121,75,0.934,0.034,2,
268,33000,200,,,156.1,1843.4,49.2,3.4,3.4,2.2,0,37,0.333,25,0.315,0.052,2,
187,11000,,1993,13,1124.1,17562.3,3395.3,337.2,8.3,81.2,0,6,0.016,75,0.036,0.01,3,
235,22000,500,2000,8,498.9,2665.5,8794.4,538,16.9,62.7,0,6,0.01,56,0,0.008,3,
236,11000,2000,1991,16,246.2,3792.2,281.4,2386.7,3689.6,708.8,7.3,6,0.01,75,0.008,0.1,3,
270,11000,,1992,14,209,3097.5,3244.9,867.8,12.6,619.3,0.4,12,0.01,53,0.15,0.068,3,
280,11000,,1997,9,629,4229.4,8141.9,612.7,2.5,123.5,0.3,5,0.01,75,0.007,0.014,3,
281,11000,,1993,13,1222.1,6592.2,7972.7,385.2,5.5,66,0,5,0.01,75,0.2,0.004,3,
282,11000,,1990,16,593.9,4551.2,5484.4,521.3,27.6,118.1,0.1,3,0.01,75,0.2,0.024,3,
223,22000,845,1989,18,594.5,12995.5,10210.5,971.7,6.9,223.4,0,7,0.021,52,0.021,0.04,3,
259,11000,2500,1985,23,512.8,27020.3,712,1300.6,45.4,694,0,17,0.055,75,0.175,0.188,3,
272,22000,,1990,15,788.9,8250.6,4565.6,399.8,3,104,0,8,0.01,50,0.006,0.007,3,
298,11000,1000,1996,9,1938.3,13733.9,16090.4,849.1,15.6,195.8,0,4,0.01,75,2,0.012,3,
256,22000,1000,1995,11,84.4,1966.5,2305.4,609.7,130.6,191.7,3.1,12,0.01,61,0,0.018,3,
290,11000,750,1995,9,1608.6,19341,2999.8,187.1,6.8,63.6,0,5,0.021,69,1.9,0.009,3,
255,66000,4000,2001,4,233.8,1758.3,35,277.2,39.8,903.2,0,6,0.01,75,0,0.021,3,
269,66000,10000,1958,50,222.9,448.7,0,130.8,43.6,869.6,0,9,0.01,75,0.163,0.141,3,
251,66000,10000,1958,50,205.3,835.8,14.4,96.3,40.9,746.6,0,11,0.012,75,0.11,0.162,3,
229,22000,500,1988,15,2016.7,32361.1,81.3,67.4,2.8,8,0,4,0.01,75,0.104,0.002,3,
254,66000,,1963,42,592.6,12369.9,63.4,98.1,51.6,387,0,21,0.077,51,0.114,0.095,3,
178,11000,2500,,,266.5,12506.3,60.1,96.7,55.3,363.3,0,30,0.03,33,0.293,0.045,3,
222,,,,,276,13900,19,207,72,271,0,11,0.015,62,0.04,0.019,3,
224,66000,10000,1983,24,266.2,2152.2,17.4,100.8,13.2,348.4,2.9,10,0.04,75,0.294,0.061,3,
243,33000,7500,1976,30,410.6,4651.7,167.4,26.6,93.2,1.7,200,28,0.19,34,0.24,0.08,4,
258,22000,,,,587.5,6038.1,107.4,48.1,156.5,24.4,150,32,0.083,39,0.125,0.063,4,
260,22000,,1968,39,779.8,7449.5,136.1,110.8,229.7,42,200,27,0.076,32,0.191,0.075,4,
264,33000,2500,1950,57,638.2,10160,44.8,17.4,26.6,10.1,131.8,28,0.368,33,3.828,0.032,4,
277,11000,,1997,8,314.9,4242.8,882.2,75.6,88.2,20.9,300,4,0.01,51,0.3,0.019,4,
